date,arm,volume,pred,gold,gold_regions,TP,FP,FN,RQ,SQ,PQ,sTP,sFP,sFN,RQ_strict,SQ_strict,PQ_strict,notes
2026-06-05,fewshot-flash-lite-era (historical),Appendix_1,auto_labeled,reviewed,388,354,117,34,0.8242,0.9540,0.7863,312,159,76,0.7264,0.9565,0.6948,"auto_labeled vs gold; A1 labeled during iter1-6 era, mixed provenance"
2026-06-05,fewshot-flash-lite (iter7) + 3 pages 3.5-flash,Appendix_3,auto_labeled,reviewed,843,709,116,134,0.8501,0.9777,0.8312,691,134,152,0.8285,0.9780,0.8103,"auto_labeled vs gold; ~96 archv/struct gold boxes unscoreable on this machine (stale crop vintage, see RESUME_HERE)"
2026-06-06,fewshot-3.5-flash+pt (production),Appendix_2,auto_labeled,reviewed,986,864,21,122,0.9236,0.9837,0.9086,807,78,179,0.8626,0.9877,0.8521,"TRUE production baseline: A2 labeled with new defaults, scored vs fresh human gold"
2026-06-06,base-bare,Appendix_2,rerun_compare/ab/base-bare,reviewed,986,832,51,154,0.8903,0.9769,0.8697,768,115,218,0.8218,0.9808,0.8060,"3.5-flash ZERO demos, snap+backstop; the no-few-shot floor"
2026-06-06,tuned-fs,Appendix_2,rerun_compare/ab/tuned-fs,reviewed,325,144,272,181,0.3887,0.8236,0.3201,102,314,223,0.2753,0.8249,0.2271,"SFT flash-lite (8ep,89pg) + 12 inline routed demos, RAW output; 20-page stratified subset of A2"
2026-06-06,tuned-bare,Appendix_2,rerun_compare/ab/tuned-v1,reviewed,831,598,485,233,0.6249,0.8980,0.5611,427,656,404,0.4462,0.9031,0.4030,"SFT flash-lite (8ep/LRx5/adapter8, 89 train pages), bare prompt, RAW output; full cold A2; val PQ was A1 0.613/A3 0.525"
2026-06-06,sweep-G1,Appendix_2,rerun_compare/ab/sweep-G1,reviewed,255,202,40,53,0.8129,0.9622,0.7822,172,70,83,0.6922,0.9670,0.6693,"G1 gentle: epochs=default(40), LR=default, adapter4; BEST ckpt9(epoch37) by val PQs=0.793; cold-20 subset"
2026-06-06,sweep-G2,Appendix_2,rerun_compare/ab/sweep-G2,reviewed,325,152,127,173,0.5033,0.8514,0.4285,116,163,209,0.3841,0.8576,0.3294,G2 (adapted): epochs6 LR2 adapter8; BEST ckpt6(epoch6) val PQs=0.435; cold-20
2026-06-06,sweep-G3,Appendix_2,rerun_compare/ab/sweep-G3,reviewed,325,149,151,176,0.4768,0.8644,0.4122,111,189,214,0.3552,0.8810,0.3129,G3: epochs6 LR2 adapter4; BEST ckpt6 val PQs=0.453; cold-20
2026-06-06,sweep-G4,Appendix_2,rerun_compare/ab/sweep-G4,reviewed,263,141,90,122,0.5709,0.8933,0.5099,100,131,163,0.4049,0.8935,0.3617,G4 control: epochs8 LR5 adapter8; BEST ckpt4(epoch8) val PQs=0.655; cold-20
2026-06-06,tuned-cont-r1,Appendix_2,rerun_compare/ab/tuned-cont-r1,reviewed,255,214,33,41,0.8526,0.9464,0.8069,183,64,72,0.7291,0.9485,0.6915,"continuous tune from G1@ckpt9(ep37): +1 epoch targeted topup (43 pages, David-edits x3); val PQs 0.838; cold-20"
2026-06-07,cont-r2-ckpt1-ep1,Appendix_2,rerun_compare/ab/cont-r2-ckpt1-ep1,reviewed,255,188,99,67,0.6937,0.9080,0.6299,162,125,93,0.5978,0.9081,0.5429,"continuation r2 from cont-r1 +2ep on 408pg (A1+A2+A3+V1, cold-20 held out); scored on cold-20 (19pg)"
2026-06-07,cont-r2-ckpt3-ep2,Appendix_2,rerun_compare/ab/cont-r2-ckpt3-ep2,reviewed,255,182,131,73,0.6408,0.9015,0.5778,141,172,114,0.4965,0.9289,0.4612,"continuation r2 from cont-r1 +2ep on 408pg (A1+A2+A3+V1, cold-20 held out); scored on cold-20 (19pg)"
2026-06-10,production-v4-run3,Volume_4,auto_labeled,reviewed,3767,3730,40,37,0.9898,0.9923,0.9821,3717,53,50,0.9863,0.9922,0.9787,auto vs David's full V4 gold; scored on the 160 pages he edited (112/272 needed zero edits)
2026-06-11,production-v3-staged,Volume_3,auto_labeled,reviewed,4405,4322,44,83,0.9855,0.9919,0.9775,4316,50,89,0.9842,0.9920,0.9763,auto vs David's full V3 gold; scored on the 176 pages he edited (134/310 zero-edit); staged flow: 12 his demos + volume note
